tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
45,0.0,0.0,0.0,0.0,0.0,0.0,31.4,462.8,635.5,667.4,685.4,693.0,699.7,699.7,699.7,699.7,699.7,699.7,699.7,725.2,758.3,798.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6,824.6
46,0.0,0.0,0.0,0.0,0.0,0.0,22.7,300.5,612.6,661.2,726.6,790.0,836.7,865.7,932.8,932.8,932.8,975.4,1006.6,1027.0,1027.0,1055.6,1055.6,1055.6,1055.6,1055.6,1055.6,1055.6,1068.8,1068.8
47,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.6,570.4,849.1,868.7,868.7,868.7,868.7,868.7,868.7,868.7,868.7,868.7,868.7,868.7,868.7,898.3,903.6,903.6,903.6,903.6,903.6,903.6,903.6
48,0.0,0.0,0.0,0.0,0.0,0.0,231.6,476.8,614.0,670.0,688.0,723.8,730.5,743.6,770.0,804.8,817.1,831.8,838.4,848.4,848.4,848.4,848.4,848.4,848.4,848.4,848.4,848.4,848.4,848.4
49,0.0,0.0,0.0,0.0,0.0,0.0,4.0,51.8,202.1,424.8,563.3,652.2,716.2,759.5,786.6,786.6,818.4,838.3,838.3,838.3,838.3,846.1,846.1,846.1,846.1,866.0,941.8,941.8,941.8,941.8
50,0.0,0.0,0.0,0.0,0.0,0.0,8.2,8.2,137.2,325.5,583.6,682.6,682.6,718.8,718.8,718.8,718.8,718.8,718.8,718.8,758.0,758.0,758.0,765.9,765.9,786.8,816.1,820.2,820.2,820.2
51,0.0,0.0,0.0,0.0,0.0,0.0,138.2,447.0,503.2,525.1,533.9,533.9,533.9,591.3,739.3,796.3,813.5,854.9,907.1,952.1,952.1,952.1,952.1,952.1,952.1,952.1,952.1,952.1,952.1,952.1
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,354.2,684.2,850.8,920.5,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,988.0,1033.3
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.6,526.1,681.7,735.8,788.2,835.5,854.9,854.9,861.4,866.3,880.3,901.5,940.6,974.8,974.8,974.8,974.8,974.8,974.8,974.8,974.8,974.8,974.8
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1,483.6,678.5,895.2,978.6,982.2,982.2,982.2,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4,991.4
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,171.4,347.6,481.2,640.3,727.1,775.8,835.2,843.9,843.9,843.9,850.3,859.9,875.6,877.9,877.9,877.9,877.9,877.9,877.9,877.9,877.9,877.9
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,336.4,445.4,649.1,752.8,832.5,890.8,902.5,928.4,952.7,1005.5,1070.8,1104.8,1109.8,1135.0,1179.4,1190.1,1190.1,1190.1,1190.1,1190.1,1190.1,1190.1
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6.9,6.9,6.9,6.9,6.9,70.7,147.2,290.8,379.7,464.7,559.8,741.7,857.7,885.0,917.0,945.9,945.9,945.9,945.9,945.9,945.9,945.9
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,271.8,557.1,764.9,936.1,1053.0,1158.1,1183.7,1183.7,1183.7,1183.7,1183.7,1183.7,1183.7,1183.7,1183.7,1183.7,1212.5,1254.4,1275.6,1292.9,1292.9,1292.9
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.1,515.9,693.2,808.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,885.0,960.6,960.6,960.6,960.6,960.6,960.6,960.6,984.2,1006.7,1030.7,1032.6
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,51.1,112.7,286.4,399.8,500.6,660.1,746.6,823.7,862.8,885.9,885.9,885.9,885.9,885.9,885.9,885.9,885.9,885.9,885.9,885.9,885.9
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,79.4,142.4,375.4,659.8,760.3,850.5,917.4,949.5,961.6,961.6,961.6,961.6,961.6,961.6,961.6,961.6,975.0,986.7,1001.7,1013.7,1015.6
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.2,453.8,581.2,682.7,733.0,765.2,786.7,817.7,823.8,838.5,881.0,897.7,897.7,897.7,897.7,908.4,916.2,916.2,916.2,916.2,916.2,916.2
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,116.8,541.8,641.7,661.6,744.0,798.7,812.8,812.8,827.8,853.3,878.1,909.9,909.9,917.4,917.4,917.4,946.1,946.1,946.1,946.1
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,122.2,320.4,404.1,459.5,489.4,594.0,727.3,750.8,780.4,836.6,836.6,855.7,874.8,874.8,874.8,874.8,874.8,874.8,874.8,874.8,874.8
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,193.4,566.9,656.2,711.0,743.7,841.6,860.5,860.5,875.2,875.2,875.2,875.2,875.2,875.2,875.2,875.2,875.2,875.2,875.2,875.2,875.2
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,137.5,333.1,580.3,664.2,680.2,721.1,721.1,721.1,721.1,789.1,868.9,953.4,997.3,1070.4,1070.4,1070.4,1070.4,1070.4,1080.1,1080.1,1080.1
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.7,206.2,560.9,844.0,1024.1,1052.4,1052.4,1100.7,1147.1,1153.9,1153.9,1153.9,1153.9,1153.9,1153.9,1153.9,1153.9,1188.9,1226.4,1248.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.6,404.4,542.0,542.0,687.8,859.3,859.3,859.3,859.3,859.3,865.3,869.8,869.8,869.8,869.8,891.0,891.0,891.0,891.0,891.0,891.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.9,381.9,537.7,595.1,665.7,729.9,764.5,833.3,852.3,852.3,852.3,852.3,852.3,880.4,880.4,880.4,880.4,880.4,880.4,880.4
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,4.7,4.7,4.7,4.7,119.7,377.1,660.3,786.2,865.8,949.8,1020.8,1065.3,1093.3,1166.3,1166.3,1166.3,1166.3,1198.7,1198.7
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.1,475.2,730.9,856.0,867.7,918.1,934.9,934.9,966.4,966.4,966.4,966.4,975.0,989.4,1006.7,1024.0,1024.0,1024.0,1024.0,1024.0,1048.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,117.0,353.9,479.6,736.9,773.5,821.6,845.3,872.8,895.8,907.5,907.5,907.5,907.5,947.1,997.3,997.3,997.3,997.3,997.3
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.2,441.5,625.6,682.6,724.8,750.9,766.3,820.3,860.8,883.5,910.5,939.3,960.9,960.9,960.9,960.9,960.9,960.9,960.9,960.9
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5,43.1,352.2,560.6,864.5,1044.1,1142.1,1236.6,1396.0,1468.3,1485.6,1485.6,1495.6,1495.6,1495.6,1495.6,1495.6
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,55.1,124.6,124.6,282.1,481.2,585.6,767.8,840.1,949.3,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,1055.2
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,394.6,509.6,744.7,744.7,753.4,810.4,898.4,949.1,997.8,1029.5,1033.7,1048.8,1048.8,1048.8,1048.8,1048.8,1048.8,1048.8
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,534.3,805.7,897.7,944.2,944.2,967.4,1017.7,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,455.8,717.5,830.2,903.3,960.5,968.9,977.6,977.6,977.6,977.6,977.6,977.6,977.6,977.6,977.6,977.6,977.6,977.6
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2,349.9,621.5,740.4,740.4,778.8,783.9,814.3,837.8,837.8,837.8,873.5,909.2,909.2,931.3,950.2,950.2,954.4,957.5
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,84.1,313.3,503.5,668.7,803.2,920.9,920.9,920.9,920.9,959.1,959.1,959.1,959.1,959.1,959.1,959.1,959.1,959.1
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,113.0,144.0,213.7,304.9,380.9,441.7,487.3,553.7,660.8,752.6,848.6,848.6,879.8,915.4,915.4,964.4,964.4,1006.7
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,159.7,327.3,691.6,777.0,811.9,820.0,850.0,903.4,950.2,990.3,990.3,990.3,990.3,990.3,990.3,990.3,990.3
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,70.0,210.9,328.5,380.0,486.2,588.3,650.5,756.6,800.7,854.4,889.1,889.1,917.9,951.7,966.0,966.0,966.0,966.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,147.1,344.2,560.7,714.0,767.4,827.7,858.2,900.1,955.9,1001.9,1017.9,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7,1033.7
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,331.8,688.3,795.2,874.6,890.8,890.8,890.8,890.8,890.8,890.8,890.8,890.8,892.6,932.7,932.7,932.7,932.7,932.7
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,338.3,836.5,968.1,997.5,997.5,997.5,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6,1010.6
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.1,366.9,638.9,750.7,879.8,928.4,947.8,947.8,952.7,952.7,952.7,952.7,952.7,952.7,952.7,952.7,952.7,952.7,952.7
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,487.7,580.1,733.4,972.8,1057.4,1057.4,1088.7,1115.5,1115.5,1115.5,1115.5,1115.5,1115.5,1115.5,1115.5,1115.5,1115.5,1115.5
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,86.0,86.0,209.0,349.4,516.8,626.0,719.6,797.6,875.9,878.8,878.8,878.8,878.8,878.8,878.8,878.8
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,284.6,619.3,692.7,770.5,798.0,856.9,864.7,923.7,923.7,923.7,923.7,923.7,923.7,986.6,1024.1,1056.4
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,155.3,277.8,403.4,403.4,403.4,503.7,564.5,564.5,568.5,670.6,670.6,790.6,790.6,790.6,790.6,790.6,790.6
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,211.7,390.8,508.4,634.6,634.6,660.3,678.3,724.6,751.6,775.9,775.9,775.9,813.3,813.3,813.3,855.3,900.6
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,259.4,485.3,645.9,731.3,767.3,799.3,799.3,807.4,833.3,843.0,843.0,869.4,899.5,899.5,899.5,899.5,899.5
